participant_id,trial_count,empty_trial_count,hip_flexion_right_mean,hip_flexion_right_median,hip_flexion_right_std,hip_flexion_right_variance,hip_flexion_right_maximum,hip_flexion_right_minimum,hip_flexion_right_rom,hip_flexion_right_time_to_peak,hip_flexion_left_mean,hip_flexion_left_median,hip_flexion_left_std,hip_flexion_left_variance,hip_flexion_left_maximum,hip_flexion_left_minimum,hip_flexion_left_rom,hip_flexion_left_time_to_peak,knee_flexion_right_mean,knee_flexion_right_median,knee_flexion_right_std,knee_flexion_right_variance,knee_flexion_right_maximum,knee_flexion_right_minimum,knee_flexion_right_rom,knee_flexion_right_time_to_peak,knee_flexion_left_mean,knee_flexion_left_median,knee_flexion_left_std,knee_flexion_left_variance,knee_flexion_left_maximum,knee_flexion_left_minimum,knee_flexion_left_rom,knee_flexion_left_time_to_peak,ankle_angle_right_mean,ankle_angle_right_median,ankle_angle_right_std,ankle_angle_right_variance,ankle_angle_right_maximum,ankle_angle_right_minimum,ankle_angle_right_rom,ankle_angle_right_time_to_peak,ankle_angle_left_mean,ankle_angle_left_median,ankle_angle_left_std,ankle_angle_left_variance,ankle_angle_left_maximum,ankle_angle_left_minimum,ankle_angle_left_rom,ankle_angle_left_time_to_peak,hip_flexion_rom_absolute_difference,hip_flexion_rom_percent_difference,hip_flexion_rom_symmetry_index,knee_flexion_rom_absolute_difference,knee_flexion_rom_percent_difference,knee_flexion_rom_symmetry_index,ankle_angle_rom_absolute_difference,ankle_angle_rom_percent_difference,ankle_angle_rom_symmetry_index
21,6,0,39.61769296,38.61420603,34.08015441,1168.700642,89.72857448,-4.467734922,94.19630941,3.419333333,39.78005693,38.35029782,35.5959907,1277.531526,92.82671528,-4.724479248,97.55119454,3.416666667,40.31774061,38.89561658,32.14951582,1048.240526,101.118966,0.214523055,100.9044429,2.482666667,41.46469704,40.3457929,34.07477202,1172.427387,105.0161261,0.1703404683,104.8457856,2.482,9.334681942,14.01364114,22.46856151,516.5763315,38.63388069,-38.8095478,77.44342849,2.497333333,8.820314292,13.29227844,22.17671251,499.5970357,38.82760345,-38.97154132,77.79914477,2.489333333,3.354885127,3.455931094,3.455931094,3.941342685,3.826148356,3.826148356,0.89237786,1.16211336,0.4764045642
22,6,0,42.14222878,40.20125486,36.33911628,1326.558295,91.69720153,-3.038279053,94.73548059,2.262,41.53732965,39.93510967,35.63756029,1278.593186,89.36846888,-3.604943903,92.97341279,2.445333333,46.24644989,46.89560325,32.6421418,1072.547053,106.4121722,2.428158207,103.984014,2.214,45.1952574,45.17791749,32.95503071,1096.524433,106.0417462,2.100566065,103.9411801,2.212,7.196267107,9.035511537,21.04061223,443.6606313,34.69267832,-39.4467453,74.13942363,2.176666667,8.067486794,9.741052995,22.26887004,496.4438106,36.61388785,-39.48263247,76.09652032,2.192666667,1.7620678,1.877348147,-1.877348147,2.002577415,1.943503595,-0.05306333864,1.957096695,2.610699722,2.610699722
23,6,0,56.70033811,45.50086087,24.83220449,621.0054398,88.82265924,-0.5399324817,89.36259172,2.924666667,57.1710963,46.46126416,24.46006378,603.9229858,88.44059723,-0.2162651983,88.65686242,2.98,51.63125326,40.49177055,35.2372674,1244.195929,97.59452938,0.8474688967,96.74706049,2.676666667,50.69263419,39.53194155,36.22129404,1314.251711,98.17279387,0.7364677267,97.43632613,2.680666667,9.388160672,9.665945534,24.8004719,616.5455147,36.74113602,-39.31639886,76.05753488,2.024666667,9.274202959,8.525832083,25.35393674,644.1474371,37.28283026,-38.98239671,76.26522696,2.618666667,0.93298086,1.040555673,-0.815802915,2.572316313,2.660839301,0.639391629,1.455287495,1.91423338,0.2670387609
24,6,0,60.09528674,57.80188023,36.19369526,1327.300103,105.076214,10.66796505,94.408249,2.314,60.18904691,58.03560739,34.59121979,1210.775465,103.5801788,12.96369809,90.61648072,2.112,56.16843264,53.9925499,30.92666763,959.4845067,99.01539856,1.392671387,97.62272717,2.091333333,56.27016714,55.20457758,30.12984605,911.8310277,98.38972321,0.37022584,98.01949737,1.922666667,11.56097901,15.47057423,17.22867315,297.2961153,29.84424196,-37.14783546,66.99207743,2.74,10.66711415,15.70775603,18.52158272,345.121967,30.14280281,-39.05476166,69.19756447,2.313333333,3.791768272,4.030462479,-4.030462479,1.003445777,1.018700696,0.3974715467,2.95700658,4.383687395,3.304165509
25,6,0,37.46531617,34.86487366,36.5618101,1346.984416,87.00765838,-11.20811725,98.21577561,2.943333333,36.75792509,33.6811611,36.35348499,1332.295222,86.08398973,-12.27072938,98.35471912,2.966666667,45.74844287,40.37282173,35.08433241,1235.007994,95.20008224,3.466371842,91.7337104,2.828,45.67926276,41.02908371,34.7008087,1207.445922,95.88839438,3.64734026,92.24105411,2.76,7.861754416,10.33090208,20.33409624,415.556042,33.51075096,-37.34290055,70.85365152,2.026666667,4.906144291,7.969523215,20.21630715,411.8757679,30.13337438,-39.18591892,69.31929329,2.434,0.7990995017,0.8090408118,0.139443683,1.689857368,1.833679568,0.5671174142,2.149885605,3.079904459,-2.185113255
26,6,0,43.07653011,40.06821373,39.31710176,1548.155549,100.8183735,-9.841138223,110.6595117,1.932666667,41.90634972,38.63798299,37.65894594,1421.195458,97.67337285,-7.963125665,105.6364985,1.931333333,46.6151549,42.65034872,34.04030077,1162.607729,101.9893741,3.281782015,98.70759209,1.748666667,46.65838243,42.6047863,33.23375921,1108.002187,101.8479452,0.2624274317,101.5855177,1.748,7.716186055,10.2583084,17.69760567,315.2079164,31.1643114,-30.47928183,61.64359323,1.778666667,7.322148286,10.39397298,20.1439042,407.4735475,32.46922575,-38.85459624,71.32382198,1.784666667,5.023013197,4.647505633,-4.647505633,2.877925628,2.900130697,2.900130697,9.68022875,14.54987995,14.54987995
27,6,0,65.67558265,69.78140047,44.01503259,1981.504029,117.2703516,-2.918087188,120.1884388,2.328,61.19347835,63.87159894,41.98031753,1802.577427,111.8632447,-4.040397722,115.9036424,2.562666667,61.94247272,68.29478536,35.64260898,1285.101674,107.3853023,4.215279547,103.1700227,1.787333333,60.82761841,66.5101983,36.30379838,1333.87237,107.7636784,3.550247438,104.2134309,1.794666667,12.16478299,21.55077987,23.85120411,575.4907653,35.32173287,-39.61091497,74.93264784,1.865333333,7.99176487,16.77098362,22.66703426,519.5373094,31.34829458,-39.55264648,70.90094106,1.844666667,4.284796398,3.581714256,-3.581714256,1.582719172,1.534295918,1.018601022,4.031706785,5.532939287,-5.532939287
28,6,0,28.17043643,13.96976518,33.58724954,1166.505521,83.56870154,-4.392829362,87.9615309,3.938,26.76773922,10.3429173,33.29153037,1145.908238,81.67168657,-4.962783282,86.63446985,3.95,31.82367574,15.34084894,32.84299565,1123.705809,91.85389992,1.1590202,90.69487972,3.611333333,32.91762846,14.89259968,32.92626659,1125.390011,92.92042437,2.843431033,90.07699335,3.615333333,8.631615308,4.200380925,17.03919009,300.0206547,37.05668021,-33.12428873,70.18096893,3.424666667,8.816022661,4.394508392,16.55212298,281.359691,36.0282075,-31.73065938,67.75886688,3.926666667,3.057186873,3.336109026,-1.670951614,1.476619272,1.741620774,-0.5985224351,2.422102052,3.514084853,-3.514084853
29,6,0,35.70767085,25.17890478,36.04287082,1299.514028,87.74641161,-8.250825988,95.99723759,2.584,35.32203632,27.47762575,34.30883084,1177.26312,85.23310134,-7.862076385,93.09517773,2.588666667,49.27924373,33.06382064,40.80047317,1665.715518,114.0520146,0.7909394583,113.2610751,2.162,50.48639415,40.70544108,38.63143185,1494.602405,113.733241,1.54038055,112.1928604,2.166666667,7.037928385,5.371877956,22.18158147,492.4382146,36.56045873,-38.4207264,74.98118513,2.222,7.824826327,6.382377342,21.69119297,471.1983548,36.473159,-39.09509882,75.56825782,2.213333333,2.902059868,3.080302527,-3.080302527,1.512851733,1.369362454,-0.9797174919,0.9988179433,1.339644911,0.7932096846
30,6,0,45.56914851,53.34741389,38.56679083,1508.200312,89.19218593,-23.89963342,113.0918193,2.563333333,44.49335301,52.9856807,38.0986662,1469.630805,87.6270194,-24.81035016,112.4373696,3.22,61.58598012,69.11238156,38.97551428,1528.986949,114.7307086,2.104617782,112.6260908,1.860666667,63.13681934,71.11238533,39.06936362,1536.317566,117.6852086,2.771714252,114.9134944,1.63,11.00796597,19.15930411,20.91287476,439.8893341,34.16115751,-39.21516648,73.37632399,1.776666667,11.30525002,18.88943086,20.40966445,420.1491198,34.06321869,-37.54168135,71.60490005,1.776666667,1.520479527,1.313855637,-0.4897735969,2.474572853,2.174799463,2.019377063,2.512321927,3.596768557,-2.584395275
31,6,0,72.33906812,90.95073176,38.89041844,1523.782049,111.0869942,6.717214862,104.3697794,1.448666667,72.32015141,90.36427121,38.10613926,1462.750001,110.7528565,8.777506097,101.9753504,1.473333333,67.66251517,89.29544961,41.2826419,1714.731186,109.9040945,0.2201153233,109.6839792,0.962,68.43026546,88.50466555,39.22045795,1548.811421,108.6427798,0.4284892417,108.2142906,0.9766666667,18.98329209,32.27982034,22.95261039,527.802901,37.77159565,-38.85236288,76.62395853,1.663333333,17.16931963,28.20294074,20.85259412,436.9116166,35.78048515,-37.93897608,73.71946123,1.323333333,2.394428995,2.302995883,-2.302995883,1.925888368,1.758779887,-1.34255286,2.9044973,3.88539442,-3.88539442
32,6,3,41.69852737,21.02818492,44.56068232,1992.135984,113.7844286,-4.14718224,117.9316108,2.677333333,43.86844105,25.72724582,43.64201422,1908.528181,113.1251531,-2.44306103,115.5682141,3.381333333,37.92194556,12.72377308,39.68417808,1578.397354,105.2562298,0.2178177767,105.0384121,2.84,39.94241602,17.05421332,38.26821124,1465.784522,104.0485095,0.2426567067,103.8058528,2.849333333,6.025107313,1.754929583,19.56091173,383.325006,33.36831526,-39.23808521,72.60640047,2.952,6.179984547,2.659952767,18.63034332,348.1305514,30.93485744,-39.19449049,70.12934794,3.274666667,2.363396707,2.089519602,-2.089519602,2.065225243,1.973769334,-1.192581606,2.47705253,3.48479636,-3.48479636
33,6,0,40.16862447,36.52545628,36.43352431,1327.894387,89.88080829,-6.43689416,96.31770245,2.854666667,39.8659045,36.95034188,36.96822338,1367.400668,89.49747288,-8.565559768,98.06303264,2.853333333,45.5884563,43.33940384,32.91225069,1085.888401,97.59456064,1.071560185,96.52300045,2.324,42.67980519,41.40101884,33.58047238,1130.95332,95.52436552,1.996973112,93.52739241,2.324,7.821721908,10.44986189,21.25234032,452.1607768,36.08159597,-39.2204729,75.30206887,2.345333333,6.445631335,8.830761207,21.1732867,449.354895,34.95408781,-38.98644399,73.94053181,2.316666667,1.78544795,1.818896837,1.7777503,2.995608042,3.153495226,-3.153495226,1.36153706,1.83529057,-1.83529057
34,6,0,29.50245496,19.6173244,35.99698403,1296.583319,85.05834489,-9.274403462,94.33274836,3.367333333,31.37196191,20.27634225,35.87835959,1288.027626,87.55449168,-6.951023478,94.50551516,3.352,36.31706007,15.29548024,32.95347769,1086.886632,94.51307107,2.4662558,92.04681527,2.794666667,37.13661899,16.37576559,32.56109936,1060.939345,95.9193811,2.389314732,93.53006637,2.625333333,6.154627396,1.696870365,18.10487275,329.0016401,33.3009982,-34.98516593,68.28616413,3.280666667,5.378060988,1.297871453,16.22178523,263.9002956,29.95022967,-33.4017146,63.35194428,2.966666667,1.273639598,1.360016981,0.2034438527,1.483251102,1.608017494,1.608017494,4.934219857,7.416777165,-7.416777165
35,6,0,44.74812912,43.33456115,39.32223708,1559.72094,94.39841116,-18.03378917,112.4322003,3.716666667,45.1892831,44.21104848,39.30730828,1562.033685,95.01639762,-18.79089655,113.8072942,3.668,49.175319,46.00130606,36.86580204,1361.378325,99.72554565,2.106104928,97.61944073,3.847333333,49.75948707,46.69507447,35.48488997,1262.050811,98.1221519,2.358429785,95.76372211,3.744,9.106790805,10.59869776,19.27190522,371.7892619,31.39811932,-39.09916354,70.49728287,3.750666667,7.348406159,8.881067705,18.47873549,342.6724392,28.25488122,-39.21719488,67.4720761,3.785333333,2.703298323,2.338175058,1.191489576,2.015473103,2.078578516,-1.915377024,3.025206767,4.384080732,-4.384080732
36,6,0,37.76103073,32.7608084,22.46119286,507.5247702,85.11764,4.722696147,80.39494386,2.447333333,38.46174429,34.54687283,22.63223095,517.040194,83.00546273,2.270197328,80.7352654,2.442,42.748189,34.58987084,26.42269976,699.792114,95.04357047,6.30236329,88.74120718,2.446,42.76582322,35.37839382,25.85515185,670.6701945,92.95017378,5.056541283,87.89363249,2.450666667,10.72025707,11.47022336,17.58298226,310.0499146,35.36801121,-37.14653256,72.51454377,2.467333333,9.430166515,10.270953,16.73045408,280.3082488,32.39027041,-38.32442888,70.7146993,2.592,1.826345113,2.315214932,0.4462273163,2.2514914,2.568904005,-1.036163294,2.746566153,3.847819689,-2.463873609
37,6,0,67.84641742,70.98969328,14.07211304,202.7949831,86.49251837,40.70929175,45.78322662,1.321333333,59.5119049,61.22600691,11.45676457,134.794353,77.13587937,35.3179577,41.81792167,0.996,66.14039743,71.40135861,24.65566325,616.2449867,97.17425155,17.82497316,79.34927838,1.485333333,61.01351803,66.2432369,25.00419765,633.6125428,93.07391877,16.34474932,76.72916945,1.477333333,16.8557018,23.29639042,17.66379245,313.2569366,35.26261202,-29.38582424,64.64843626,1.47,10.45956098,16.4504074,18.52455456,345.6308699,30.78266062,-34.29514488,65.0778055,1.336666667,4.058992542,9.625949143,-9.426616477,3.881371443,5.039497877,-3.618404343,1.839348602,2.819620624,0.7244847319
38,6,0,53.68372912,47.64302738,30.86282354,1005.294367,99.70454354,-2.30134831,102.0058918,2.912666667,51.89270713,46.03561765,30.63091053,992.108153,98.13273398,0.2310149233,97.90171904,2.74,47.84910792,41.90155167,35.85270976,1295.734808,103.3153012,0.4599180967,102.8553831,2.711333333,49.32675056,46.03770093,35.95559392,1303.848341,104.2422672,0.326831385,103.9154359,2.710666667,11.89115131,13.46025868,20.88430903,437.1380204,37.01153839,-39.51766563,76.52920401,2.633333333,13.74669038,15.39232418,19.27179737,372.9490266,36.32829188,-39.09698079,75.42527267,2.236,4.784061218,5.544878484,-4.948692192,1.09383962,1.036685841,1.00302568,1.615692482,2.129753462,-1.45066509
39,6,0,42.62242133,41.1935347,32.97151643,1087.933026,88.57157375,-1.863373767,90.43494752,2.214,42.1882698,39.85426891,31.9995824,1025.011321,87.5805403,-1.708212798,89.2887531,2.206,51.01098463,46.82037163,36.64954299,1344.68219,105.9875813,0.3964928433,105.5910884,2.22,51.21701096,48.1832289,36.95587155,1367.668508,106.0868006,1.069799613,105.017001,2.212666667,13.0602762,15.62599781,17.61824119,310.9275136,35.67937605,-39.05103305,74.7304091,2.386666667,15.67860465,17.27342149,17.09493433,292.8426711,36.75014837,-37.74551678,74.49566515,2.550666667,1.587051555,1.772886001,-1.289957766,0.785786035,0.7502586541,-0.5513695515,1.761358592,2.374086332,-0.3434776332
40,6,0,50.92397131,42.47047741,32.46713276,1062.126339,94.847088,0.6164674483,94.23062056,3.18,51.93586403,43.20424258,32.15090678,1043.59518,95.58404404,1.572707815,94.01133622,3.001333333,50.27851142,47.62857657,33.25280916,1108.885228,95.12466539,0.3093402883,94.81532512,2.618,52.51804065,49.05883447,31.70317952,1009.673347,95.90049994,1.404405383,94.49609456,2.606,8.56426745,12.94950858,22.02807667,487.0351649,33.945462,-39.47903763,73.42449963,2.185333333,6.424313261,11.07643641,20.45502805,419.0522449,29.98495837,-39.56843615,69.55339451,2.133333333,1.706710568,1.852556013,-0.3715980944,1.886174922,1.998686788,-0.4000091719,4.30090691,6.022381387,-5.427473749
41,6,0,48.66458369,41.64003906,33.90409044,1150.832815,101.8215999,3.371571792,98.45002805,2.088,50.97237399,43.60852563,34.9493193,1222.947142,104.3972237,4.324249172,100.0729745,2.091333333,51.12601199,50.87127195,34.94374894,1223.017797,104.7166991,0.16500846,104.5516906,2.078,52.79389587,51.9925598,35.5703774,1268.746274,106.4704041,0.3170792267,106.1533249,2.087333333,14.65695969,22.73920937,23.56578461,558.6204723,38.8770805,-39.23228893,78.10936943,2.192666667,12.52616216,20.40784161,21.66661226,470.8569516,36.25137935,-38.90166913,75.15304848,2.302666667,1.76145444,1.850221601,1.716309369,1.601634308,1.568857402,1.568857402,2.956320955,3.866928423,-3.866928423
42,6,0,44.96241393,31.9272732,37.08702683,1377.253472,106.5148011,2.806142998,103.7086581,3.029333333,42.72733469,27.26589374,38.59162143,1490.795121,108.7476717,0.1228777467,108.624794,3.447333333,43.80132778,30.08321222,36.7715837,1355.080978,103.1766903,0.4539122717,102.7227781,3.233333333,42.68566445,27.60165289,38.31092248,1469.277433,104.8501362,0.1212602167,104.728876,3.432666667,10.91098811,7.185467358,15.89484169,253.5739221,32.96498318,-36.37836234,69.34334552,3.164666667,10.47839825,7.962988745,16.86076993,284.9801648,33.20821329,-38.59662354,71.80483683,2.744,4.916135892,4.58044181,4.58044181,2.381684693,2.285334994,1.915022801,2.74410011,3.892425313,3.488453686
43,6,0,28.41254345,13.99012617,39.43313134,1557.765011,104.8232059,-11.16414343,115.9873494,2.440666667,28.21672886,14.56797381,38.73351594,1502.779412,103.3479749,-10.61737008,113.965345,2.448666667,34.14908939,12.75197911,36.74683851,1352.669307,112.9705597,0.7564896117,112.2140701,2.454666667,33.44912925,10.83675016,36.79419285,1356.242669,112.4848148,0.6333870167,111.8514278,2.452666667,2.735382748,2.196383303,19.18335237,368.511415,33.18635328,-38.87649458,72.06284786,2.681333333,2.749995628,2.731122361,19.62801566,385.5162948,33.29133752,-38.69678568,71.9881232,2.522666667,2.022004393,1.74386998,-1.74386998,1.273123643,1.153952309,-0.3439546579,1.976802773,2.751783805,-0.1153949411
44,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
